,event_type,sub_event_type,assoc_actor_1,latitude,longitude,notes,month
1999,Protests,Peaceful protest,Journalists (Pakistan); Labor Group (Pakistan); PFUJ: Pakistan Federal Union of Journalists,30.1999,67.0097,"On 28 January 2025, journalists, members of the PFUJ, civil society members, labour leaders and newspaper vendors held a protest demonstration in Quetta city (Quetta, Balochistan), against the approval of Pakistan Electronic Crime Amendment Bill 2025.",2025-01
2162,Protests,Peaceful protest,,29.7945,66.7206,"On 27 January 2025, residents staged protest and blocked Quetta-Karachi Highway at Jungle Crossing in Parangabad area of Mastung district (Mastung, Balochistan) against prolonged power outages in the area.",2025-01
4145,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,28.5833,65.4167,"On 16 January 2025, a large number of Baloch persons and BYC activists staged a protest rally in Kharan town (Kharan, Balochistan) against Baloch 'extrajudicial attacks' ahead of 'Baloch Genocide Remembrance Day' scheduled to be held in Dalbandin on 25 January 2025.",2025-01
4146,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.3479,66.6365,"On 16 January 2025, thousands of Baloch persons and BYC activists staged a protest rally till the Martyrs Cemetery in Mangochar town (Kalat, Balochistan) against Baloch 'extrajudicial attacks' ahead of 'Baloch Genocide Remembrance Day' scheduled to be held in Dalbandin on 25 January 2025.",2025-01
4405,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 15 January 2025, relatives and residents including women and children staged a protest sit-in on Turbat-Quetta Road in Shahrak area of Turbat city (Kech, Balochistan) against the enforced disappearance of several Baloch persons by military and FC forces over the past week.",2025-01
4406,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),28.4902,66.2636,"On 15 January 2025, relatives and residents staged a protest sit-in in Surab area (Kalat, Balochistan) against the enforced disappearance of Baloch persons by military and FC forces over the past week.",2025-01
4407,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.647,63.9347,"On 15 January 2025, relatives staged protest and blocked roads (means unspecified) in Saidan area (Panjgur, Balochistan) against the enforced disappearance of two Baloch persons by military forces the same day (coded separately).",2025-01
4408,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),25.1216,62.3254,"On 15 January 2025, a large number of people including relatives, residents, and political activists staged protest during a candlelight vigil in Gwadar city (Gwadar, Balochistan) against the killing of a Baloch levies personnel by unidentified armed persons (coded separately). The individual was previously abducted by military personnel and later released after protest from relatives.",2025-01
4409,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,30.1999,67.0097,"On 15 January 2025, thousands of Baloch persons and BYC activists staged a protest rally from the University of Balochistan to the Baloch Martyrs Cemetery in New Kahan area of Quetta city (Quetta, Balochistan) against Baloch 'extrajudicial attacks' ahead of 'Baloch Genocide Remembrance Day' scheduled to be held in Dalbandin on 25 January 2025.",2025-01
4410,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.4891,67.6523,"On 15 January 2025, Baloch persons and BYC activists staged protest at Kala Cricket Ground in Dhadar town (Kachhi, Balochistan)against Baloch 'extrajudicial attacks' ahead of 'Baloch Genocide Remembrance Day' scheduled to be held in Dalbandin on 25 January 2025.",2025-01
4793,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,29.0266,66.5936,"On 13 January 2025, a large number of BYC activists and Baloch persons staged a protest rally from Mughal Chowk in Kalat city (Kalat, Balochistan) against extrajudicial killings and enforced disappearances of Baloch persons by military forces.",2025-01
4951,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),28.4783,66.8986,"On 12 January 2025, relatives and Baloch activists staged a protest sit-in in front of the police station, while a large number of women staged protest on the main China-Pakistan Economic Corridor (CPEC) Quetta-Karachi Highway at Sorab Cross in Anjari area of Zehri tehsil Khuzdar, Balochistan) against the enforced disappearance of around a dozen Baloch persons by military forces on 9 and 11 January (coded separately).",2025-01
5226,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),28.5833,65.4167,"On 10 January 2025, relatives and Baloch activists staged a protest sit-in at the Red Zone area in Kharan city (Kharan, Balochistan) against the enforced disappearance of two Baloch youth by military forces on 9 January 2025 (coded separately). The individuals were later released on 10 January 2025.",2025-01
5451,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Labor Group (Pakistan),28.4783,66.8986,"On 9 January 2025, members of a trader association staged a protest sit-in outside the police station in Zehri area (Khuzdar, Balochistan) against the enforced disappearance of three Baloch persons by military forces.",2025-01
5495,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 9 January 2025, relatives staged a protest sit-in at Shaheed Fida Chowk in Turbat city (Kech, Balochistan) against the enforced disappearance of two Baloch persons by military forces on 6 January and 9 January (coded separately). One of the two individuals was later released on 12 January 2025.",2025-01
5663,Protests,Peaceful protest,Fishers (Pakistan); Labor Group (Pakistan),25.1216,62.3254,"On 8 January 2025, Pasni Fish Harbor employees staged protest in front of the harbor's main office in Gwadar city (Gwadar, Balochistan) against the non-payment of their seven month's salaries.",2025-01
5670,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,30.1999,67.0097,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Baleli town area in Quetta district (Quetta, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5671,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,30.5802,66.9961,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the Yaro Pul highway in Pishin district (Pishin, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5672,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,30.728,66.6612,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the Syed Hamid Cross highway in Qilla Abdullah area (Killa Abdullah, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5673,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,30.8944,66.4681,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the Gardang highway in Chaman district (Chaman, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5674,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,29.7945,66.7206,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway near Nawab Hotel in Mastung district (Mastung, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5675,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,25.8277,66.6227,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Uthal area (Uthal, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5676,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,30.3705,68.5979,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway near Shanwari Hotel in Loralai district (Loralai, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5677,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,25.0434,66.8187,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Hub area (Las Bela, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5678,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,25.8445,66.6741,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Lasbela area (Las Bela, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5679,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,27.7383,66.6433,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Khuzdar district (Khuzdar, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5680,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,26.4567,65.2314,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Awaran district (Awaran, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5681,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,28.4902,66.2636,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Surab area (Kalat, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5682,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,29.0266,66.5936,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Kalat area (Kalat, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5683,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,30.6983,68.3547,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Qila Saifullah area (Killa Saifullah, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5684,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,30.3838,67.7199,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the Pechi Dam Road in Ziarat district (Ziarat, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5685,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,28.3747,68.3503,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Dera Allah Yar area (Jaffarabad, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5686,Riots,Violent demonstration,JUI-F: Jamiat Ulema-e-Islam-Fazl,28.1797,68.0448,"On 8 January 2025, JUI-F activists staged a demonstration, set tires on fire, and erected barriers blocking the highway in Usta Mohammad area (Jaffarabad, Balochistan) against 'alleged' manipulation of results in the by-election for the PB-45 Provincial Assembly Constituency.",2025-01
5917,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0138,63.5908,"On 7 January 2025, relatives staged protest and blocked the China-Pakistan Economic Corridor (CPEC) Highway in Hirok area (Kech, Balochistan) against the enforced disappearance of a Baloch person by military forces on 6 January 2025 (coded separately).",2025-01
6288,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),25.1216,62.3254,"On 5 January 2025, a large number of people including relatives and activists staged protest in Gwadar city (Gwadar, Balochistan) against the enforced disappearance of a Baloch person by military forces on 7 November 2024 (coded separately).",2025-01
6476,Protests,Peaceful protest,Students (Pakistan),25.8277,66.6227,"On 4 January 2025, Uthal University students staged protest inside the university campus in Uthal town (Las Bela, Balochistan) against the closure of the university hostel and forced eviction of students from their dorms.",2025-01
7334,Protests,Excessive force against protesters,Baloch Ethnic Group (Pakistan),25.0434,66.8187,"On 30 December 2024, police forces baton-charged, tear gassed, and are claimed to have opened fire on protesters in Hub city (Las Bela, Balochistan) staging protest demanding the recovery of a Baloch journalist abducted by military forces on 29 December 2024 (coded separately). Several protesters were claimed to have been detained and forcibly disappeared during the protest. A detained individual was later released the same day.",2024-12
7467,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0159,63.8883,"On 29 December 2024, relatives staged a protest sit-in in Hoshab area (Kech, Balochistan) against the enforced disappearance of a Baloch person by military forces the same day (coded separately).",2024-12
7490,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),25.0434,66.8187,"On 29 December 2024, relatives, residents, and other Baloch activists staged a protest sit-in and blocked the highway in Hub town (Las Bela, Balochistan) demanding the recovery of a Baloch person forcibly disappeared by military forces the same day.",2024-12
7491,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0258,63.7178,"On 29 December 2024, relatives, residents, and other Baloch activists staged a protest sit-in and blocked the Quetta-Turbat China Pakistan Economic Corridor (CPEC) highway in Tijaban area (Kech, Balochistan) demanding the recovery of a Baloch person forcibly disappeared by military forces the same day.",2024-12
7808,Protests,Peaceful protest,,30.1999,67.0097,"On 27 December 2024, residents staged a protest sit-in at Gahi Khan Chowk and blocked the main road in Quetta city (Quetta, Balochistan) against unannounced gas outages and reduced gas pressure in the city. BLA militants targeted and destroyed a Sui Southern Gas Company (SSGC) gas pipeline in an IED attack in Quetta city on 25 December 2024 (coded separately).",2024-12
7809,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 27 December 2024, relatives, residents, and other Baloch activists staged a protest with the body of the deceased in Turbat city (Kech, Balochistan) against the abduction and killing of a Baloch person by military forces on 26 December 2024 (coded separately).",2024-12
8450,Protests,Peaceful protest,Labor Group (Pakistan),29.7945,66.7206,"On 24 December 2024, members of the All Balochistan Unemployed Union and Zamayad Union staged a protest sit-in outside a local hotel on the Quetta-Karachi Highway in Mastung area (Mastung, Balochistan) against the claimed financial extortion of a journalist by police forces.",2024-12
8451,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0159,63.8883,"On 24 December 2024, relatives staged a protest rally from Hoshab Market to Zero Point locality In Hoshab area (Kech, Balochistan) against the enforced disappearance of two Baloch persons by military forces on 15 December 2024 (coded separately).",2024-12
8637,Protests,Peaceful protest,Labor Group (Pakistan),29.0353,69.1595,"On 23 December 2024, Sun Kota Union employees staged a protest against the state-owned Oil & Gas Development Company (OGDCL) in Dera Bugti area (Dera Bugti, Balochistan) demanding organization to employ children of retired employees.",2024-12
9432,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 19 December 2024, a large number of relatives and residents staged a protest in Turbat city (Kech, Balochistan) against the enforced disappearance of a Baloch Separatist militant by Iranian military forces in Kerman area on 19 July 2024.",2024-12
9727,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),29.3479,66.6365,"On 18 December 2024, relatives staged a protest and blocked Karachi-Quetta Highway in Mangochar area (Kalat, Balochistan) in response to the abduction and enforced disappearance of a Baloch person by military forces on 18 June 2024 (coded separately).",2024-12
10428,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),29.5521,66.0228,"On 15 December 2024, relatives staged a protest in Nushki city (Nushki, Balochistan) against the enforced disappearance of a Baloch person by military forces on 18 October 2024 (coded separately).",2024-12
10994,Protests,Peaceful protest,Health Workers (Pakistan); Labor Group (Pakistan); Teachers (Pakistan),25.8277,66.6227,"On 12 December 2024, hundreds of people, including teachers, paramedical staff, and SBK university candidates staged protest outside Armabil Press Club in Uthal area (Las Bela, Balochistan) to demand the implementation of Supreme Court orders for the appointment of teachers, which the Balochistan government has delayed despite multiple claimed legal rulings in their favor.",2024-12
11246,Protests,Peaceful protest,NP: National Party,30.1999,67.0097,"On 11 December 2024, women and National Party (NP) members staged a protest in front of Balochistan High Court in Quetta city (Quetta, Balochistan) against the reduction in gas pressure.",2024-12
11531,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,26.0001,63.0527,"On 10 December 2024, a large number of BYC and Baloch activists staged a protest in front of Turbat city (Kech, Balochistan) marking the occasion of the International Human Rights Day, against human rights violations by the state authorities in Balochistan.",2024-12
11532,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,30.1999,67.0097,"On 10 December 2024, a large number of BYC and Baloch activists staged a protest in Quetta city (Kech, Balochistan) marking the occasion of the International Human Rights Day, against human rights violations by the state authorities in Balochistan.",2024-12
11533,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,25.0434,66.8187,"On 10 December 2024, a large number of BYC and Baloch activists staged a protest in front of Lasbela Press Club in Hub town (Las Bela, Balochistan) marking the occasion of the International Human Rights Day, against human rights violations by the state authorities in Balochistan.",2024-12
11806,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),29.3479,66.6365,"On 9 December 2024, relatives staged a protest and blocked Karachi-Quetta highway in Mangochar area (Kalat, Balochistan) in response to the enforced disappearance of three Baloch persons on 7 December 2024 (coded separately).",2024-12
11807,Protests,Peaceful protest,,30.1999,67.0097,"On 9 December 2024, residents staged a protest and blocked traffic at Magsi Chowk on Sariab Road in Satellite Town of Quetta city (Quetta, Balochistan) against the reduction of gas supply and pressure during winters.",2024-12
12324,Protests,Peaceful protest,,29.7945,66.7206,"On 6 December 2024, residents staged a protest and blocked the Quetta-Karachi N-25 Highway at DC Chowk near Mastung city (Mastung, Balochistan) demanding the restoration of gas and electricity in the area.",2024-12
12328,Protests,Peaceful protest,,30.1999,67.0097,"On 6 December 2024, residents staged protest and blocked the Quetta-Karachi N-25 Highway in Quetta city (Quetta, Balochistan) demanding the restoration of gas and electricity in the area.",2024-12
13202,Protests,Peaceful protest,,28.3747,68.3503,"On 3 December 2024, residents held a protest near the railway station in Dera Allah Yar city (Jaffarabad, Balochistan), against the poor sanitary conditions.",2024-12
13203,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),29.0266,66.5936,"On 3 December 2024, a large number of relatives and activists staged protest and blocked the Karachi-Quetta N-25 Highway near Kalat city (Kalat, Balochistan) against the enforced disappearance of two Baloch persons by military forces on 29 November 2024 (coded separately). The individuals were later released on 4 December 2024.",2024-12
13430,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Students (Pakistan); Teachers (Pakistan),25.8277,66.6227,"On 2 December 2024, students and teachers at Uthal Agricultural University staged protest in Uthal area (Las Bela, Balochistan) against the enforced disappearance of Baloch persons by military forces on 30 November 2024 (coded separately).",2024-12
13739,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),28.4902,66.2636,"On 30 November 2024, a large number of relatives staged protest and blocked Quetta-Karachi Highway in Surab area (Kalat, Balochistan) against the enforced disappearance of a Baloch person by military forces.",2024-11
14244,Protests,Peaceful protest,Students (Pakistan),29.2114,67.7327,"On 27 November 2024, a large number of students staged a protest sit-in outside the main gate of Bolan Medical College in Bolan area (Kachhi, Balochistan). Students had previously staged protest against police violence and the suspension of academic activities at the university.",2024-11
15000,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),28.4902,66.2636,"On 24 November 2024, relatives staged protest and blocked CPEC Road and Quetta-Karachi National Highway in Surab area (Kalat, Balochistan) against the enforced disappearance of two Baloch persons by military forces (coded separately).",2024-11
15007,Protests,Peaceful protest,Shiite Muslim Group (Pakistan),30.1999,67.0097,"On 24 November 2024, Shiite activists and residents staged a protest organized by the Balochistan Shia Conference at Shaheed Chowk in Quetta city (Quetta, Balochistan) in response to the recent violence between Shia and Sunni groups in Kurram district. Sectarian clashes between Shia and Sunni groups erupted following the killing of 47 Shia civilians on 21 November 2024 (coded separately).",2024-11
15174,Protests,Peaceful protest,Labor Group (Pakistan),29.9908,66.8826,"On 23 November 2024, transporters staged a protest and blocked the Quetta-Karachi highway near the Toll Plaza in Lak Pass area (Mastung, Balochistan) in response to the seizure of 25 petrol-transporting vehicles by Frontier Corps personnel.",2024-11
15780,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Labor Group (Pakistan),30.1999,67.0097,"On 20 November 2024, a large number of residents and relatives staged protest outside the civil hospital mortuary in Quetta city (Quetta, Balochistan) demanding the return of the body of a BLA militant involved in the attack against security forces in Kalat on 15 November 2024 (coded separately). The protest concluded after the government handed over the militant's body to his relatives.",2024-11
15784,Protests,Peaceful protest,Students (Pakistan),30.1999,67.0097,"On 20 November 2024, students staged protest and blocked multiple points and joined the sit-in at the Unity Chowk on Zarghoon Road in Quetta city (Quetta, Balochistan) demanding recovery, after the child of a tribal leader was abducted by unidentified individuals while on his way to school, suspected to be for ransom.",2024-11
16026,Protests,Peaceful protest,PKMAP: Pashtunkhwa Milli Awami Party,30.1999,67.0097,"On 19 November 2024, PKMAP leader staged protest and joined the sit-in at the Unity Chowk on Zarghoon Road in Quetta city (Quetta, Balochistan) demanding recovery, after the child of a tribal leader was abducted by unidentified individuals while on his way to school, suspected to be for ransom.",2024-11
16240,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.4567,65.2314,"On 18 November 2024, hundreds of people, including women and children and relatives, staged protest outside the deputy commissioner's office in Awaran city (Awaran, Balochistan) against the enforced disappearance of a Baloch person by military forces (coded separately).",2024-11
16424,Protests,Excessive force against protesters,Baloch Ethnic Group (Pakistan); Labor Group (Pakistan); Women (Pakistan),25.2837,63.3639,"On 17 November 2024, coast guard personnel are claimed to have opened fire on women protesters staging protest, alongside transporters, on the Makran Coastal Highway in Chitti area of Pasni tehsil (Gwadar, Balochistan) in response to the suspected firing by coast guard personnel on transporters carrying oil from Iran (coded separately). Coast Guard personnel are also claimed to have detained and tortured drivers transporters during the protest. No fatalities.",2024-11
16427,Protests,Peaceful protest,,30.8261,67.7495,"On 17 November 2024, relatives staged protest and placed the body of a deceased on the road in Muslim Bagh area (Killa Saifullah, Balochistan) demanding the government to arrest the unidentified assailants behind the killing.",2024-11
16613,Protests,Peaceful protest,Labor Group (Pakistan),25.0466,61.7461,"On 16 November 2024, transporters staged protest in front of the coast guard check post in Jiwani tehsil (Gwadar, Balochistan) claiming that Coast Guard personnel had fired on transporters carrying oil from Iran (coded separately).",2024-11
16677,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 15 November 2024, relatives staged protest on Turbat-Quetta Highway in Turbat city (Kech, Balochistan) against the enforced disappearance of two Baloch persons by military forces on 12 November 2024 (coded separately).",2024-11
16679,Riots,Violent demonstration,Tribal Group (Pakistan),30.1999,67.0097,"On 15 November 2024, a large number of people, including relatives, political party members, and tribesmen staged a demonstration and blocked multiple points along Zarghoon Road in Quetta city (Quetta, Balochistan) after the child of a tribal leader was abducted by unidentified individuals while on his way to school, suspected to be for ransom. The demonstrators set tires on fire, blocked the main road, and claimed they would continue their demonstration until the child's safe return.",2024-11
16894,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BSO: Baloch Students' Organization; Pashtun Ethnic Group (Pakistan); Students (Pakistan),30.1999,67.0097,"On 14 November 2024, a large number of Pashtun and Baloch students and members of various Pashtun and Baloch student organizations, including BSAC, PSF, and BSO, staged protest outside Quetta Press Club in Quetta city (Quetta, Balochistan) against the closure of hostels at Bolan Medical College, and claimed police violence and detention of Baloch and Pashtun students.",2024-11
18402,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0001,63.0527,"On 7 November 2024, relatives staged a protest in the central market of Turbat city (Kech, Balochistan) demanding the recovery of two Baloch persons abducted by military forces in Buleda tehsil on 5 and 6 November 2024 (coded separately).",2024-11
18514,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); BYC: Baloch Yakjehti Committee,26.1135,62.0274,"On 7 November 2024, a large number of men and women, alongside BYC activists, staged protest on the road connecting Pakistan and Iran in Mand town (Kech, Balochistan). The protest was held against the suspected establishment of security checkpoints in residential houses.",2024-11
18786,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),26.0328,63.3315,"On 5 November 2024, relatives staged protest and blocked CPEC Road in Shahrak area (Kech, Balochistan) against the enforced disappearance of a Baloch person by military forces (coded separately).",2024-11
18787,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan),25.1216,62.3254,"On 5 November 2024, relatives staged a protest sit-in and blocked CPEC Road in front of the deputy commissioner's office in Gwadar city (Gwadar, Balochistan) against the enforced disappearance of a Baloch person by military forces on 22 December 2023 (coded separately).",2024-11
19285,Protests,Peaceful protest,Baloch Ethnic Group (Pakistan); Students (Pakistan),29.5521,66.0228,"On 3 November 2024, Baloch activists, students, and residents staged a protest organised by the Baloch Students Action Committee at Nushki Press Club in Nushki city (Nushki, Balochistan) against the enforced disappearance of two Baloch persons by military forces in November 2021.",2024-11
